﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5BTSprVXxjXVwjXYcrnkwl","Haze","Shubh Saran","Hmayra","1","5","364114","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:59:39Z"
"spotify:track:0QbGNUAPEcZ9aVS8qjuyjS","City Boy","Judd Greenstein, Now Ensemble","Dreamfall","1","9","675395","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:03:36Z"
"spotify:track:1QIX751D0OtRwxNrYgbTg9","Pole Star","Charles Lloyd","Pathless Path","1","2","138853","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:05:20Z"
"spotify:track:35fC3Wq3slX4OBfyvBVmHm","Samba Pa Ti","Santana","Abraxas","1","7","284800","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:08:15Z"
"spotify:track:7LblT8I1YJHhdFyaY8gUyI","Eternity's Breath, Pt. 1","Mahavishnu Orchestra","Visions of the Emerald Beyond","1","1","190640","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:12:13Z"
"spotify:track:0dCbhZ6jVeSLJ0of5wf2hm","Birds of Fire","Mahavishnu Orchestra","Birds Of Fire","1","1","342800","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:12:16Z"
"spotify:track:29uRmlE49uQOweIR9FlRLy","You Know, You Know (with John McLaughlin) - Remastered","Mahavishnu Orchestra, John McLaughlin","The Essential Mahavishnu Orchestra with John McLaughlin (with John McLaughlin)","1","6","307973","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:12:19Z"
"spotify:track:3zTPm7WbVCByG66AOqkMNZ","Meeting of the Spirits (with John McLaughlin) - Remastered","Mahavishnu Orchestra, John McLaughlin","The Essential Mahavishnu Orchestra with John McLaughlin (with John McLaughlin)","1","3","411506","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:12:21Z"
"spotify:track:3Id76NjIt3c3HGYhjiEkzf","Lakta Mata Ha","Andromeda Mega Express Orchestra","Vula","1","3","635533","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:29:21Z"
"spotify:track:3rFzc8CLVDZ7OOtFa2jPYP","Moanin'","Charles Mingus","Blues & Roots","1","3","482959","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:34:10Z"
"spotify:track:3riHHRLTFgNfegt7fzdm8i","Middle Of The Night","Lalo Schifrin","No One Home","1","6","243693","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:40:50Z"
"spotify:track:2qf97fkebBNP320wDEkxR2","Batucada","Walter Wanderley","Batucada","1","3","127653","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:51:58Z"
"spotify:track:15MaulfW3zJfaMvsKrmF7R","It's Easy To Say Goodbye","Walter Wanderley","Rain Forest (Reissue)","1","2","123266","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T17:52:15Z"
"spotify:track:5PSq9oe5T0OJLMbHzwAXOQ","First Born","James Brandon Lewis, Chad Taylor","Radiant Imprints","1","5","253893","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T18:13:33Z"
"spotify:track:2BCWZhkwEhTI7SYNzwdCdu","Talfantelak","Abeer Nehme","Talfantelak","1","1","232396","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T15:33:48Z"
"spotify:track:4Sqkfwcm0HsUMlmmmZYTim","Nobody Other","Kadhja Bonet","The Visitor","1","7","198028","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T10:56:25Z"
"spotify:track:3KO1cSCkz4NkqvgPy0cpDk","A Stranger Spring","Honey Oat","Honey Oat","1","1","190000","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T10:58:16Z"
"spotify:track:3fPS1Yo4FA6RDxBytEgrBQ","Summer Storm","Fox + Sui","Taboo","1","1","161893","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:20:06Z"
"spotify:track:5SVE1WwLeCNdxPZXEVRb80","A Little Waltz For Mischa","The Hot Club Of San Francisco","Swing This","1","9","246933","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:23:09Z"
"spotify:track:7EsaE33h75IrpXerNvZDBo","Ménilmontant","Avalon Jazz Band","Je Suis Swing","1","1","220161","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:23:14Z"
"spotify:track:6M3Wjd3WA5EG1lJrUfHTms","Mamma Mia (version Valse)","Opa Tsupa","bastringue","1","10","235360","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:23:42Z"
"spotify:track:6LbVnwPp8tL1TVX82dXhEv","Bella Ciao","Klischée","Bella Ciao","1","1","174329","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:24:36Z"
"spotify:track:5ZQq2c8to2wXOkHxUgkzG8","Te Dikalo","Richard Bona","Scenes From My Life","1","6","255226","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-22T11:24:54Z"
